({'V': 2, 'N': 1, 'R+A': 3, 'E': 5, 'DEFAULT': 0}, (0.6421769977595221, 0.5863758882626807, 0.48340567932447964))
({'V': 2, 'N': 1, 'R+A': 2, 'E': 5, 'DEFAULT': 0}, (0.6421303211351755, 0.585967491627869, 0.48145688468701037))
({'V': 2, 'N': 1, 'R+A': 3, 'E': 4, 'DEFAULT': 0}, (0.6419202763256161, 0.5858041329739443, 0.4819477485771467))
({'V': 2, 'N': 1, 'R+A': 4, 'E': 5, 'DEFAULT': 0}, (0.6411501120238984, 0.5853140570121702, 0.4833924667198404))
({'V': 3, 'N': 1, 'R+A': 4, 'E': 5, 'DEFAULT': 0}, (0.640846713965646, 0.5853140570121702, 0.4825109786516144))
({'V': 2, 'N': 1, 'R+A': 3, 'E': 3, 'DEFAULT': 0}, (0.6419902912621359, 0.5852323776852079, 0.4807664646500851))
({'V': 4, 'N': 2, 'R+A': 5, 'E': 5, 'DEFAULT': 0}, (0.6426671023151606, 0.5850690190312832, 0.4792688290267367))
({'V': 2, 'N': 1, 'R+A': 4, 'E': 4, 'DEFAULT': 0}, (0.6412434652725915, 0.5849873397043208, 0.4824011438425806))
({'V': 3, 'N': 1, 'R+A': 4, 'E': 4, 'DEFAULT': 0}, (0.6404266243465273, 0.5849056603773585, 0.4813357854484108))
({'V': 2, 'N': 1, 'R+A': 2, 'E': 4, 'DEFAULT': 0}, (0.642433719193428, 0.5848239810503961, 0.47944117820895654))
({'V': 1, 'N': 1, 'R+A': 3, 'E': 5, 'DEFAULT': 0}, (0.6420603061986557, 0.5847423017234338, 0.48298894449424307))
({'V': 2, 'N': 1, 'R+A': 2, 'E': 3, 'DEFAULT': 0}, (0.6421536594473488, 0.5847423017234338, 0.4790278788168348))
({'V': 2, 'N': 1, 'R+A': 4, 'E': 3, 'DEFAULT': 0}, (0.6409867438386856, 0.5846606223964714, 0.48145507135325377))
({'V': 1, 'N': 1, 'R+A': 2, 'E': 5, 'DEFAULT': 0}, (0.6428304705003735, 0.5845789430695091, 0.48293440479793004))
({'V': 2, 'N': 1, 'R+A': 3, 'E': 2, 'DEFAULT': 0}, (0.6414768483943242, 0.5845789430695091, 0.47920842457784113))
({'V': 4, 'N': 2, 'R+A': 5, 'E': 4, 'DEFAULT': 0}, (0.6419202763256161, 0.5845789430695091, 0.477949355784195))
({'V': 3, 'N': 1, 'R+A': 5, 'E': 5, 'DEFAULT': 0}, (0.640309932785661, 0.5844155844155844, 0.4822610799459787))
({'V': 3, 'N': 2, 'R+A': 5, 'E': 4, 'DEFAULT': 0}, (0.6420603061986557, 0.5842522257616597, 0.47966397745542616))
({'V': 1, 'N': 1, 'R+A': 3, 'E': 4, 'DEFAULT': 0}, (0.6418969380134428, 0.5841705464346973, 0.48169143817656224))
({'V': 4, 'N': 2, 'R+A': 4, 'E': 5, 'DEFAULT': 0}, (0.6418969380134428, 0.5841705464346973, 0.47788119499930737))
