({'V': 2, 'N': 1, 'R+A': 3, 'E': 5, 'DEFAULT': 0}, (0.6418035847647499, 0.5865392469166054, 0.48352258833472356))
({'V': 2, 'N': 1, 'R+A': 2, 'E': 5, 'DEFAULT': 0}, (0.6414068334578044, 0.5864575675896431, 0.4818324619298066))
({'V': 2, 'N': 1, 'R+A': 3, 'E': 4, 'DEFAULT': 0}, (0.6414768483943242, 0.5858041329739443, 0.48193230453459757))
({'V': 2, 'N': 1, 'R+A': 2, 'E': 4, 'DEFAULT': 0}, (0.6418502613890963, 0.5853140570121702, 0.4798320775084907))
({'V': 2, 'N': 1, 'R+A': 3, 'E': 3, 'DEFAULT': 0}, (0.641640216579537, 0.5853140570121702, 0.48068194903395695))
({'V': 4, 'N': 2, 'R+A': 5, 'E': 5, 'DEFAULT': 0}, (0.6416868932038835, 0.5853140570121702, 0.47942897630448456))
({'V': 3, 'N': 1, 'R+A': 4, 'E': 5, 'DEFAULT': 0}, (0.6408000373412994, 0.5850690190312832, 0.482314363719331))
({'V': 2, 'N': 1, 'R+A': 4, 'E': 5, 'DEFAULT': 0}, (0.6406366691560866, 0.5849873397043208, 0.48302366384178047))
({'V': 2, 'N': 1, 'R+A': 2, 'E': 3, 'DEFAULT': 0}, (0.6415468633308439, 0.5849056603773585, 0.4788459596384627))
({'V': 2, 'N': 1, 'R+A': 4, 'E': 4, 'DEFAULT': 0}, (0.640846713965646, 0.5848239810503961, 0.48217012514106816))
({'V': 3, 'N': 1, 'R+A': 4, 'E': 4, 'DEFAULT': 0}, (0.6402399178491411, 0.5848239810503961, 0.4814130545369635))
({'V': 2, 'N': 1, 'R+A': 3, 'E': 2, 'DEFAULT': 0}, (0.6409634055265123, 0.5847423017234338, 0.4793103573054139))
({'V': 4, 'N': 2, 'R+A': 5, 'E': 4, 'DEFAULT': 0}, (0.6412201269604182, 0.5847423017234338, 0.4782420846179063))
({'V': 1, 'N': 1, 'R+A': 3, 'E': 5, 'DEFAULT': 0}, (0.6415468633308439, 0.5846606223964714, 0.4828892746273472))
({'V': 1, 'N': 1, 'R+A': 2, 'E': 5, 'DEFAULT': 0}, (0.641640216579537, 0.5845789430695091, 0.4829281848483382))
({'V': 3, 'N': 1, 'R+A': 5, 'E': 5, 'DEFAULT': 0}, (0.6399365197908887, 0.5844155844155844, 0.4822768732094988))
({'V': 4, 'N': 2, 'R+A': 4, 'E': 5, 'DEFAULT': 0}, (0.6414301717699776, 0.5844155844155844, 0.47791141957856537))
({'V': 2, 'N': 1, 'R+A': 4, 'E': 3, 'DEFAULT': 0}, (0.6405433159073936, 0.584333905088622, 0.4811334529710005))
({'V': 3, 'N': 2, 'R+A': 5, 'E': 4, 'DEFAULT': 0}, (0.6414535100821509, 0.5841705464346973, 0.47963715277103197))
({'V': 2, 'N': 1, 'R+A': 2, 'E': 2, 'DEFAULT': 0}, (0.6412201269604182, 0.584088867107735, 0.47747733386087904))
